Name,JavaScript Percentage,Test Framework,License
simple-icons/simple-icons,99.09%,mocha,Creative Commons Zero v1.0 Universal
popcorn-official/popcorn-desktop,0.05%,no framework test,MIT License
webpack/webpack,97.80%,jest,MIT License
gatsbyjs/gatsby,58.89%,jest,MIT License
upgundecha/howtheysre,100.00%,no framework test,Creative Commons Zero v1.0 Universal
prettier/prettier,82.93%,jest,MIT License
mrdoob/three.js,62.92%,no framework test,MIT License
chartjs/chart.js,88.98%,jasmine,MIT License
rawgraphs/rawgraphs-app,76.17%,no framework test,Apache License 2.0
react-grid-layout/react-grid-layout,97.49%,jest,MIT License
react-grid-layout/react-draggable,95.17%,no framework test,MIT License
sveltejs/kit,99.79%,no framework test,MIT License
ipfs/ipfs-desktop,96.54%,no framework test,MIT License
mickael-kerjean/filestash,40.07%,no framework test,GNU Affero General Public License v3.0
lanyulei/ferry,95.37%,no framework test,MIT License
thoughtbot/administrate,71.37%,no framework test,MIT License
