file,type,line,frame
> 263 |     expect(innerDiv).not.toHaveClassName(""error"");
      |    ^ Duplicate Assert
  264 |     expect(innerDiv).not.toHaveClassName(""entered"");
  265 |     expect(innerDiv).not.toHaveClassName(""exited"");
  266 |     expect(getStatus(innerDiv)).toBeNull();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 264, 'column': 4, 'index': 8697}","  262 |     expect(innerDiv).not.toHaveClassName(""loaded"");
  263 |     expect(innerDiv).not.toHaveClassName(""error"");
> 264 |     expect(innerDiv).not.toHaveClassName(""entered"");
      |    ^ Duplicate Assert
  265 |     expect(innerDiv).not.toHaveClassName(""exited"");
  266 |     expect(getStatus(innerDiv)).toBeNull();
  267 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 265, 'column': 4, 'index': 8750}","  263 |     expect(innerDiv).not.toHaveClassName(""error"");
  264 |     expect(innerDiv).not.toHaveClassName(""entered"");
> 265 |     expect(innerDiv).not.toHaveClassName(""exited"");
      |    ^ Duplicate Assert
  266 |     expect(getStatus(innerDiv)).toBeNull();
  267 |   });
  268 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 318, 'column': 4, 'index': 10433}","  316 |     load(innerDiv, settings, instance);
  317 |     restore(innerDiv, settings);
> 318 |     expect(innerDiv).not.toHaveClassName(""applied"");
      |    ^ Duplicate Assert
  319 |     expect(innerDiv).not.toHaveClassName(""loading"");
  320 |     expect(innerDiv).not.toHaveClassName(""loaded"");
  321 |     expect(innerDiv).not.toHaveClassName(""error"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 319, 'column': 4, 'index': 10486}","  317 |     restore(innerDiv, settings);
  318 |     expect(innerDiv).not.toHaveClassName(""applied"");
> 319 |     expect(innerDiv).not.toHaveClassName(""loading"");
      |    ^ Duplicate Assert
  320 |     expect(innerDiv).not.toHaveClassName(""loaded"");
  321 |     expect(innerDiv).not.toHaveClassName(""error"");
  322 |     expect(innerDiv).not.toHaveClassName(""entered"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 320, 'column': 4, 'index': 10539}","  318 |     expect(innerDiv).not.toHaveClassName(""applied"");
  319 |     expect(innerDiv).not.toHaveClassName(""loading"");
> 320 |     expect(innerDiv).not.toHaveClassName(""loaded"");
      |    ^ Duplicate Assert
  321 |     expect(innerDiv).not.toHaveClassName(""error"");
  322 |     expect(innerDiv).not.toHaveClassName(""entered"");
  323 |     expect(innerDiv).not.toHaveClassName(""exited"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 321, 'column': 4, 'index': 10591}","  319 |     expect(innerDiv).not.toHaveClassName(""loading"");
  320 |     expect(innerDiv).not.toHaveClassName(""loaded"");
> 321 |     expect(innerDiv).not.toHaveClassName(""error"");
      |    ^ Duplicate Assert
  322 |     expect(innerDiv).not.toHaveClassName(""entered"");
  323 |     expect(innerDiv).not.toHaveClassName(""exited"");
  324 |     expect(getStatus(innerDiv)).toBeNull();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 322, 'column': 4, 'index': 10642}","  320 |     expect(innerDiv).not.toHaveClassName(""loaded"");
  321 |     expect(innerDiv).not.toHaveClassName(""error"");
> 322 |     expect(innerDiv).not.toHaveClassName(""entered"");
      |    ^ Duplicate Assert
  323 |     expect(innerDiv).not.toHaveClassName(""exited"");
  324 |     expect(getStatus(innerDiv)).toBeNull();
  325 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 323, 'column': 4, 'index': 10695}","  321 |     expect(innerDiv).not.toHaveClassName(""error"");
  322 |     expect(innerDiv).not.toHaveClassName(""entered"");
> 323 |     expect(innerDiv).not.toHaveClassName(""exited"");
      |    ^ Duplicate Assert
  324 |     expect(getStatus(innerDiv)).toBeNull();
  325 |   });
  326 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 385, 'column': 4, 'index': 12623}","  383 |     load(video, settings, instance);
  384 |     restore(video, settings);
> 385 |     expect(video).not.toHaveClassName(""applied"");
      |    ^ Duplicate Assert
  386 |     expect(video).not.toHaveClassName(""loading"");
  387 |     expect(video).not.toHaveClassName(""loaded"");
  388 |     expect(video).not.toHaveClassName(""error"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 386, 'column': 4, 'index': 12673}","  384 |     restore(video, settings);
  385 |     expect(video).not.toHaveClassName(""applied"");
> 386 |     expect(video).not.toHaveClassName(""loading"");
      |    ^ Duplicate Assert
  387 |     expect(video).not.toHaveClassName(""loaded"");
  388 |     expect(video).not.toHaveClassName(""error"");
  389 |     expect(video).not.toHaveClassName(""entered"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 387, 'column': 4, 'index': 12723}","  385 |     expect(video).not.toHaveClassName(""applied"");
  386 |     expect(video).not.toHaveClassName(""loading"");
> 387 |     expect(video).not.toHaveClassName(""loaded"");
      |    ^ Duplicate Assert
  388 |     expect(video).not.toHaveClassName(""error"");
  389 |     expect(video).not.toHaveClassName(""entered"");
  390 |     expect(video).not.toHaveClassName(""exited"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 388, 'column': 4, 'index': 12772}","  386 |     expect(video).not.toHaveClassName(""loading"");
  387 |     expect(video).not.toHaveClassName(""loaded"");
> 388 |     expect(video).not.toHaveClassName(""error"");
      |    ^ Duplicate Assert
  389 |     expect(video).not.toHaveClassName(""entered"");
  390 |     expect(video).not.toHaveClassName(""exited"");
  391 |     expect(getStatus(video)).toBeNull();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 389, 'column': 4, 'index': 12820}","  387 |     expect(video).not.toHaveClassName(""loaded"");
  388 |     expect(video).not.toHaveClassName(""error"");
> 389 |     expect(video).not.toHaveClassName(""entered"");
      |    ^ Duplicate Assert
  390 |     expect(video).not.toHaveClassName(""exited"");
  391 |     expect(getStatus(video)).toBeNull();
  392 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 390, 'column': 4, 'index': 12870}","  388 |     expect(video).not.toHaveClassName(""error"");
  389 |     expect(video).not.toHaveClassName(""entered"");
> 390 |     expect(video).not.toHaveClassName(""exited"");
      |    ^ Duplicate Assert
