file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Conditional Test Logic,"{'line': 21, 'column': 4, 'index': 532}","  19 |     }
  20 |
> 21 |     if (action.type === 'deepEqlState') {
     |    ^ Conditional Test Logic
  22 |       return cloneDeep(state);
  23 |     }
  24 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Conditional Test Logic,"{'line': 40, 'column': 4, 'index': 888}","  38 |
  39 |   afterEach(() => {
> 40 |     if (React.__REVERT_WHY_DID_YOU_RENDER__) {
     |    ^ Conditional Test Logic
  41 |       React.__REVERT_WHY_DID_YOU_RENDER__();
  42 |     }
  43 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Conditional Test Logic,"{'line': 157, 'column': 4, 'index': 3634}","  155 |
  156 |   const rootReducer = (state, action) => {
> 157 |     if (action.type === 'differentState') {
      |    ^ Conditional Test Logic
  158 |       return {a: {b: 'd'}};
  159 |     }
  160 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Conditional Test Logic,"{'line': 161, 'column': 4, 'index': 3713}","  159 |     }
  160 |
> 161 |     if (action.type === 'deepEqlState') {
      |    ^ Conditional Test Logic
  162 |       return cloneDeep(state);
  163 |     }
  164 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Conditional Test Logic,"{'line': 183, 'column': 4, 'index': 4140}","  181 |
  182 |   afterEach(() => {
> 183 |     if (React.__REVERT_WHY_DID_YOU_RENDER__) {
      |    ^ Conditional Test Logic
  184 |       React.__REVERT_WHY_DID_YOU_RENDER__();
  185 |     }
  186 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 63, 'column': 4, 'index': 1414}","  61 |     rtl.render(<Main/>);
  62 |
> 63 |     expect(store.getState().a.b).toBe('c');
     |    ^ Duplicate Assert
  64 |
  65 |     rtl.act(() => {
  66 |       store.dispatch({type: 'sameState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 63, 'column': 4, 'index': 1414}","  61 |     rtl.render(<Main/>);
  62 |
> 63 |     expect(store.getState().a.b).toBe('c');
     |    ^ Duplicate Assert
  64 |
  65 |     rtl.act(() => {
  66 |       store.dispatch({type: 'sameState'});"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 69, 'column': 4, 'index': 1531}","  67 |     });
  68 |
> 69 |     expect(store.getState().a.b).toBe('c');
     |    ^ Duplicate Assert
  70 |
  71 |     expect(updateInfos).toHaveLength(0);
  72 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 69, 'column': 4, 'index': 1531}","  67 |     });
  68 |
> 69 |     expect(store.getState().a.b).toBe('c');
     |    ^ Duplicate Assert
  70 |
  71 |     expect(updateInfos).toHaveLength(0);
  72 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/why-did-you-render/tests/librariesTests/react-redux.test.js,Duplicate Assert,"{'line': 92, 'column': 4, 'index': 2050}","  90 |     rtl.render(<Main/>);
  91 |
> 92 |     expect(store.getState().a.b).toBe('c');
     |    ^ Duplicate Assert
  93 |
