file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 302}","  300 |     });
  301 |
> 302 |     it('default levels', function (done) {
      |    ^ Unknown Test
  303 |       let logger = winston.createLogger();
  304 |       let expected = {message: 'foo', level: 'debug'};
  305 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 331}","  329 |     });
  330 |
> 331 |     it('custom levels', function (done) {
      |    ^ Unknown Test
  332 |       let logger = winston.createLogger({
  333 |         levels: {
  334 |           bad: 0,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 368}","  366 |     });
  367 |
> 368 |     it('sets transports levels', done => {
      |    ^ Unknown Test
  369 |       let logger;
  370 |       const transport = new TransportStream({
  371 |         log(obj) {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 407}","  405 |
  406 |     describe('Log Levels Enabled', function () {
> 407 |       it('default levels', function () {
      |      ^ Unknown Test
  408 |         let logger = winston.createLogger({
  409 |           level: 'verbose',
  410 |           levels: winston.config.npm.levels,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 441}","  439 |       });
  440 |
> 441 |       it('default levels, transport override', function () {
      |      ^ Unknown Test
  442 |         let transport = new winston.transports.Console();
  443 |         transport.level = 'debug';
  444 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 478}","  476 |       });
  477 |
> 478 |       it('default levels, no transports', function () {
      |      ^ Unknown Test
  479 |         let logger = winston.createLogger({
  480 |           level: 'verbose',
  481 |           levels: winston.config.npm.levels,"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 512}","  510 |       });
  511 |
> 512 |       it('custom levels', function () {
      |      ^ Unknown Test
  513 |         let logger = winston.createLogger({
  514 |           level: 'test',
  515 |           levels: {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 541}","  539 |       });
  540 |
> 541 |       it('custom levels, no transports', function () {
      |      ^ Unknown Test
  542 |         let logger = winston.createLogger({
  543 |           level: 'test',
  544 |           levels: {"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 570}","  568 |       });
  569 |
> 570 |       it('custom levels, transport override', function () {
      |      ^ Unknown Test
  571 |         let transport = new winston.transports.Console();
  572 |         transport.level = 'ok';
  573 |"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 645}","  643 |     });
  644 |
> 645 |     it('error', (done) => {
      |    ^ Unknown Test
  646 |       const consoleTransport = new winston.transports.Console();
  647 |       const logger = winston.createLogger({
  648 |         transports: [consoleTransport]"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 659}","  657 |     });
  658 |
> 659 |     it('warn', (done) => {
      |    ^ Unknown Test
  660 |       const consoleTransport = new winston.transports.Console();
  661 |       const logger = winston.createLogger({
  662 |         transports: [consoleTransport]"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 712}","  710 |
  711 |   describe('Profiling', function () {
> 712 |     it('ending profiler with object argument should be included in output', function (done) {
      |    ^ Unknown Test
  713 |       let logger = helpers.createLogger(function (info) {
  714 |         assume(info).is.an('object');
  715 |         assume(info.something).equals('ok');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 733}","  731 |
  732 |     // TODO: Revisit if this is a valid test
> 733 |     it('calling profile with a callback function should not make a difference', function (done) {
      |    ^ Unknown Test
  734 |       let logger = helpers.createLogger(function (info) {
  735 |         assume(info).is.an('object');
  736 |         assume(info.something).equals('ok');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 4, 'line': 756}","  754 |     });
  755 |
> 756 |     it('should stop a timer when `done` is called on it', function (done) {
      |    ^ Unknown Test
  757 |       let logger = helpers.createLogger(function (info) {
  758 |         assume(info).is.an('object');
  759 |         assume(info.something).equals('ok');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 836}","  834 |
  835 |     describe('.info', function () {
> 836 |       it('.info(undefined) creates info with { message: undefined }', function (done) {
      |      ^ Unknown Test
  837 |         const logger = helpers.createLogger(function (info) {
  838 |           assume(info.message).equals(undefined);
  839 |           done();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 845}","  843 |       });
  844 |
> 845 |       it('.info(null) creates info with { message: null }', function (done) {
      |      ^ Unknown Test
  846 |         const logger = helpers.createLogger(function (info) {
  847 |           assume(info.message).equals(null);
  848 |           done();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 854}","  852 |       });
  853 |
> 854 |       it('.info(new Error()) uses Error instance as info', function (done) {
      |      ^ Unknown Test
  855 |         const err = new Error('test');
  856 |         const logger = helpers.createLogger(function (info) {
  857 |           assume(info).instanceOf(Error);"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 871}","  869 |   describe('Metadata Precedence', function () {
  870 |     describe('Should support child loggers & defaultMeta', () => {
> 871 |       it('sets child meta for text messages correctly', (done) => {
      |      ^ Unknown Test
  872 |         const assertFn = ((msg) => {
  873 |           assume(msg.level).equals('info');
  874 |           assume(msg.message).equals('dummy message');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 889}","  887 |       });
  888 |
> 889 |       it('sets child meta for json messages correctly', (done) => {
      |      ^ Unknown Test
  890 |         const assertFn = ((msg) => {
  891 |           assume(msg.level).equals('info');
  892 |           assume(msg.message.text).equals('dummy');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 907}","  905 |       });
  906 |
> 907 |       it('merges child and provided meta correctly', (done) => {
      |      ^ Unknown Test
  908 |         const assertFn = ((msg) => {
  909 |           assume(msg.level).equals('info');
  910 |           assume(msg.message).equals('dummy message');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 926}","  924 |       });
  925 |
> 926 |       it('provided meta take precedence over defaultMeta', (done) => {
      |      ^ Unknown Test
  927 |         const assertFn = ((msg) => {
  928 |           assume(msg.level).equals('info');
  929 |           assume(msg.message).equals('dummy message');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 948}","  946 |       });
  947 |
> 948 |       it('provided meta take precedence over child meta', (done) => {
      |      ^ Unknown Test
  949 |         const assertFn = ((msg) => {
  950 |           assume(msg.level).equals('info');
  951 |           assume(msg.message).equals('dummy message');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 970}","  968 |       });
  969 |
> 970 |       it('handles error stack traces in child loggers correctly', (done) => {
      |      ^ Unknown Test
  971 |         const assertFn = ((msg) => {
  972 |           assume(msg.level).equals('error');
  973 |           assume(msg.message).equals('dummy error');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 989}","  987 |       });
  988 |
> 989 |       it('defaultMeta() autobinds correctly', (done) => {
      |      ^ Unknown Test
  990 |         const logger = helpers.createLogger(info => {
  991 |           assume(info.message).equals('test');
  992 |           done();"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 1003}","  1001 |   describe('Backwards Compatability', function () {
  1002 |     describe('Winston V2 Log', function () {
> 1003 |       it('.log(level, message)', function (done) {
       |      ^ Unknown Test
  1004 |         let logger = helpers.createLogger(function (info) {
  1005 |           assume(info).is.an('object');
  1006 |           assume(info.level).equals('info');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 1044}","  1042 |       });
  1043 |
> 1044 |       it('.log(level, message, meta)', function (done) {
       |      ^ Unknown Test
  1045 |         let meta = {one: 2};
  1046 |         let logger = helpers.createLogger(function (info) {
  1047 |           assume(info).is.an('object');"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 1058}","  1056 |       });
  1057 |
> 1058 |       it('.log(level, formatStr, ...splat)', function (done) {
       |      ^ Unknown Test
  1059 |         const format = winston.format.combine(
  1060 |             winston.format.splat(),
  1061 |             winston.format.printf(info => `${info.level}: ${info.message}`)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger.test.js,Unknown Test,"{'column': 6, 'line': 1076}","  1074 |       });
  1075 |
> 1076 |       it('.log(level, formatStr, ...splat, meta)', function (done) {
       |      ^ Unknown Test
  1077 |         const format = winston.format.combine(
  1078 |             winston.format.splat(),
  1079 |             winston.format.printf(info => `${info.level}: ${info.message} ${JSON.stringify({thisIsMeta: info.thisIsMeta})}`)"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/winston/test/unit/winston/logger-legacy.test.js,Unknown Test,"{'column': 6, 'line': 97}","   95 |       });
   96 |
>  97 |       it('.remove() is successful', function () {
      |      ^ Unknown Test
   98 |         const consoleTransport = new winston.transports.Console();
   99 |         const legacyTransport = new TransportClass();
  100 |"
